[2018-06-29 18:41:52.6] >>Log file /home/guy/github/LocalSwitch/FamilyRoomWindow/F-RoomWindow.log was created successfully

log start @rpi2, IP:192.168.2.114, OS:linux, Name:F-RoomWindow
***************************************************************
[2018-06-29 18:41:53.2] [F-RoomWindow/Up] init [press mode][GPIO in/out:20/19] 
[2018-06-29 18:41:53.3] [F-RoomWindow/Down] init [press mode][GPIO in/out:21/26] 
[2018-06-29 18:41:53.3] [F-RoomWindow/Up] GPIO initialize successfully
[2018-06-29 18:41:53.3] [F-RoomWindow/Down] GPIO initialize successfully
[2018-06-29 18:41:54.8] [F-RoomWindow/Up] [WatchDog] init
[2018-06-29 18:41:55.8] [F-RoomWindow/Down] [WatchDog] init
[2018-06-29 18:41:55.8] [F-RoomWindow/Up] [Weekly Schedule] Schedule file read successfully
[2018-06-29 18:41:57.2] [F-RoomWindow/Up] [Weekly Schedule] Task details [#0/0] [Sunday, 05:50:00]  - [Sunday, 05:50:05]
[2018-06-29 18:41:58.9] [F-RoomWindow/Up] [Weekly Schedule] Task details [#24/2] [Tuesday, 08:55:00]  - [Tuesday, 08:57:05]
[2018-06-29 18:41:59.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#24/3] [Wednesday, 08:55:00]  - [Wednesday, 08:57:05]
[2018-06-29 18:41:59.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#24/4] [Thursday, 08:55:00]  - [Thursday, 08:57:05]
[2018-06-29 18:41:59.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#24/5] [Friday, 08:55:00]  - [Friday, 08:57:05]
[2018-06-29 18:41:59.0] [F-RoomWindow/Up] [Weekly Schedule] Task details [#24/6] [Saturday, 08:55:00]  - [Saturday, 08:57:05]
[2018-06-29 18:41:59.0] [F-RoomWindow/Down] [Weekly Schedule] Schedule file read successfully
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/0] [Sunday, 23:59:00]  - [Sunday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/1] [Monday, 23:59:00]  - [Monday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/2] [Tuesday, 23:59:00]  - [Tuesday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/3] [Wednesday, 23:59:00]  - [Wednesday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/4] [Thursday, 23:59:00]  - [Thursday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/5] [Friday, 23:59:00]  - [Friday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#0/6] [Saturday, 23:59:00]  - [Saturday, 23:59:59]
[2018-06-29 18:42:00.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/0] [Sunday, 08:00:00]  - [Sunday, 08:01:00]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/1] [Monday, 08:00:00]  - [Monday, 08:01:00]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/2] [Tuesday, 08:00:00]  - [Tuesday, 08:01:00]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/3] [Wednesday, 08:00:00]  - [Wednesday, 08:01:00]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#1/4] [Thursday, 08:00:00]  - [Thursday, 08:01:00]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/0] [Sunday, 00:59:00]  - [Sunday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/1] [Monday, 00:59:00]  - [Monday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/2] [Tuesday, 00:59:00]  - [Tuesday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/3] [Wednesday, 00:59:00]  - [Wednesday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/4] [Thursday, 00:59:00]  - [Thursday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/5] [Friday, 00:59:00]  - [Friday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#2/6] [Saturday, 00:59:00]  - [Saturday, 00:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/0] [Sunday, 01:59:00]  - [Sunday, 01:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/1] [Monday, 01:59:00]  - [Monday, 01:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/2] [Tuesday, 01:59:00]  - [Tuesday, 01:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/3] [Wednesday, 01:59:00]  - [Wednesday, 01:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/4] [Thursday, 01:59:00]  - [Thursday, 01:59:59]
[2018-06-29 18:42:00.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/5] [Friday, 01:59:00]  - [Friday, 01:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#3/6] [Saturday, 01:59:00]  - [Saturday, 01:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/0] [Sunday, 02:59:00]  - [Sunday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/1] [Monday, 02:59:00]  - [Monday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/2] [Tuesday, 02:59:00]  - [Tuesday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/3] [Wednesday, 02:59:00]  - [Wednesday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/4] [Thursday, 02:59:00]  - [Thursday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/5] [Friday, 02:59:00]  - [Friday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#4/6] [Saturday, 02:59:00]  - [Saturday, 02:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/0] [Sunday, 03:59:00]  - [Sunday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/1] [Monday, 03:59:00]  - [Monday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/2] [Tuesday, 03:59:00]  - [Tuesday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/3] [Wednesday, 03:59:00]  - [Wednesday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/4] [Thursday, 03:59:00]  - [Thursday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/5] [Friday, 03:59:00]  - [Friday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#5/6] [Saturday, 03:59:00]  - [Saturday, 03:59:59]
[2018-06-29 18:42:00.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/0] [Sunday, 04:59:00]  - [Sunday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/1] [Monday, 04:59:00]  - [Monday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/2] [Tuesday, 04:59:00]  - [Tuesday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/3] [Wednesday, 04:59:00]  - [Wednesday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/4] [Thursday, 04:59:00]  - [Thursday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/5] [Friday, 04:59:00]  - [Friday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#6/6] [Saturday, 04:59:00]  - [Saturday, 04:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/0] [Sunday, 05:59:00]  - [Sunday, 05:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/1] [Monday, 05:59:00]  - [Monday, 05:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/2] [Tuesday, 05:59:00]  - [Tuesday, 05:59:59]
[2018-06-29 18:42:00.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/3] [Wednesday, 05:59:00]  - [Wednesday, 05:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/4] [Thursday, 05:59:00]  - [Thursday, 05:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/5] [Friday, 05:59:00]  - [Friday, 05:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#7/6] [Saturday, 05:59:00]  - [Saturday, 05:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/0] [Sunday, 06:59:00]  - [Sunday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/1] [Monday, 06:59:00]  - [Monday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/2] [Tuesday, 06:59:00]  - [Tuesday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/3] [Wednesday, 06:59:00]  - [Wednesday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/4] [Thursday, 06:59:00]  - [Thursday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/5] [Friday, 06:59:00]  - [Friday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#8/6] [Saturday, 06:59:00]  - [Saturday, 06:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/0] [Sunday, 07:59:00]  - [Sunday, 07:59:59]
[2018-06-29 18:42:00.4] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/1] [Monday, 07:59:00]  - [Monday, 07:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/2] [Tuesday, 07:59:00]  - [Tuesday, 07:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/3] [Wednesday, 07:59:00]  - [Wednesday, 07:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/4] [Thursday, 07:59:00]  - [Thursday, 07:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/5] [Friday, 07:59:00]  - [Friday, 07:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#9/6] [Saturday, 07:59:00]  - [Saturday, 07:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/0] [Sunday, 08:59:00]  - [Sunday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/1] [Monday, 08:59:00]  - [Monday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/2] [Tuesday, 08:59:00]  - [Tuesday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/3] [Wednesday, 08:59:00]  - [Wednesday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/4] [Thursday, 08:59:00]  - [Thursday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/5] [Friday, 08:59:00]  - [Friday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#10/6] [Saturday, 08:59:00]  - [Saturday, 08:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/0] [Sunday, 09:59:00]  - [Sunday, 09:59:59]
[2018-06-29 18:42:00.5] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/1] [Monday, 09:59:00]  - [Monday, 09:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/2] [Tuesday, 09:59:00]  - [Tuesday, 09:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/3] [Wednesday, 09:59:00]  - [Wednesday, 09:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/4] [Thursday, 09:59:00]  - [Thursday, 09:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/5] [Friday, 09:59:00]  - [Friday, 09:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#11/6] [Saturday, 09:59:00]  - [Saturday, 09:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/0] [Sunday, 10:59:00]  - [Sunday, 10:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/1] [Monday, 10:59:00]  - [Monday, 10:59:59]
[2018-06-29 18:42:00.6] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/2] [Tuesday, 10:59:00]  - [Tuesday, 10:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/3] [Wednesday, 10:59:00]  - [Wednesday, 10:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/4] [Thursday, 10:59:00]  - [Thursday, 10:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/5] [Friday, 10:59:00]  - [Friday, 10:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#12/6] [Saturday, 10:59:00]  - [Saturday, 10:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/0] [Sunday, 11:59:00]  - [Sunday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/1] [Monday, 11:59:00]  - [Monday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/2] [Tuesday, 11:59:00]  - [Tuesday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/3] [Wednesday, 11:59:00]  - [Wednesday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/4] [Thursday, 11:59:00]  - [Thursday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/5] [Friday, 11:59:00]  - [Friday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#13/6] [Saturday, 11:59:00]  - [Saturday, 11:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/0] [Sunday, 12:59:00]  - [Sunday, 12:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/1] [Monday, 12:59:00]  - [Monday, 12:59:59]
[2018-06-29 18:42:00.7] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/2] [Tuesday, 12:59:00]  - [Tuesday, 12:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/3] [Wednesday, 12:59:00]  - [Wednesday, 12:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/4] [Thursday, 12:59:00]  - [Thursday, 12:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/5] [Friday, 12:59:00]  - [Friday, 12:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#14/6] [Saturday, 12:59:00]  - [Saturday, 12:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/0] [Sunday, 13:59:00]  - [Sunday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/1] [Monday, 13:59:00]  - [Monday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/2] [Tuesday, 13:59:00]  - [Tuesday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/3] [Wednesday, 13:59:00]  - [Wednesday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/4] [Thursday, 13:59:00]  - [Thursday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/5] [Friday, 13:59:00]  - [Friday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#15/6] [Saturday, 13:59:00]  - [Saturday, 13:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/0] [Sunday, 14:59:00]  - [Sunday, 14:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/1] [Monday, 14:59:00]  - [Monday, 14:59:59]
[2018-06-29 18:42:00.8] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/2] [Tuesday, 14:59:00]  - [Tuesday, 14:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/3] [Wednesday, 14:59:00]  - [Wednesday, 14:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/4] [Thursday, 14:59:00]  - [Thursday, 14:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/5] [Friday, 14:59:00]  - [Friday, 14:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#16/6] [Saturday, 14:59:00]  - [Saturday, 14:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/0] [Sunday, 15:59:00]  - [Sunday, 15:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/1] [Monday, 15:59:00]  - [Monday, 15:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/2] [Tuesday, 15:59:00]  - [Tuesday, 15:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/3] [Wednesday, 15:59:00]  - [Wednesday, 15:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/4] [Thursday, 15:59:00]  - [Thursday, 15:59:59]
[2018-06-29 18:42:00.9] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/5] [Friday, 15:59:00]  - [Friday, 15:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#17/6] [Saturday, 15:59:00]  - [Saturday, 15:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/0] [Sunday, 16:59:00]  - [Sunday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/1] [Monday, 16:59:00]  - [Monday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/2] [Tuesday, 16:59:00]  - [Tuesday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/3] [Wednesday, 16:59:00]  - [Wednesday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/4] [Thursday, 16:59:00]  - [Thursday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/5] [Friday, 16:59:00]  - [Friday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#18/6] [Saturday, 16:59:00]  - [Saturday, 16:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/0] [Sunday, 17:59:00]  - [Sunday, 17:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/1] [Monday, 17:59:00]  - [Monday, 17:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/2] [Tuesday, 17:59:00]  - [Tuesday, 17:59:59]
[2018-06-29 18:42:01.0] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/3] [Wednesday, 17:59:00]  - [Wednesday, 17:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/4] [Thursday, 17:59:00]  - [Thursday, 17:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/5] [Friday, 17:59:00]  - [Friday, 17:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#19/6] [Saturday, 17:59:00]  - [Saturday, 17:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/0] [Sunday, 18:59:00]  - [Sunday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/1] [Monday, 18:59:00]  - [Monday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/2] [Tuesday, 18:59:00]  - [Tuesday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/3] [Wednesday, 18:59:00]  - [Wednesday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/4] [Thursday, 18:59:00]  - [Thursday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/5] [Friday, 18:59:00]  - [Friday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#20/6] [Saturday, 18:59:00]  - [Saturday, 18:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/0] [Sunday, 19:59:00]  - [Sunday, 19:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/1] [Monday, 19:59:00]  - [Monday, 19:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/2] [Tuesday, 19:59:00]  - [Tuesday, 19:59:59]
[2018-06-29 18:42:01.1] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/3] [Wednesday, 19:59:00]  - [Wednesday, 19:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/4] [Thursday, 19:59:00]  - [Thursday, 19:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/5] [Friday, 19:59:00]  - [Friday, 19:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#21/6] [Saturday, 19:59:00]  - [Saturday, 19:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/0] [Sunday, 20:59:00]  - [Sunday, 20:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/1] [Monday, 20:59:00]  - [Monday, 20:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/2] [Tuesday, 20:59:00]  - [Tuesday, 20:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/3] [Wednesday, 20:59:00]  - [Wednesday, 20:59:59]
[2018-06-29 18:42:01.2] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/4] [Thursday, 20:59:00]  - [Thursday, 20:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/5] [Friday, 20:59:00]  - [Friday, 20:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#22/6] [Saturday, 20:59:00]  - [Saturday, 20:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/0] [Sunday, 21:59:00]  - [Sunday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/1] [Monday, 21:59:00]  - [Monday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/2] [Tuesday, 21:59:00]  - [Tuesday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/3] [Wednesday, 21:59:00]  - [Wednesday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/4] [Thursday, 21:59:00]  - [Thursday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/5] [Friday, 21:59:00]  - [Friday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#23/6] [Saturday, 21:59:00]  - [Saturday, 21:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/0] [Sunday, 22:59:00]  - [Sunday, 22:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/1] [Monday, 22:59:00]  - [Monday, 22:59:59]
[2018-06-29 18:42:01.3] [F-RoomWindow/Down] [Weekly Schedule] Task details [#24/2] [Tuesday, 22:59:00]  - [Tuesday, 22:59:59]
